编号	名称	品种	类别
708	牛舌菜	车前草	多年生及杂类蔬菜
709	蛤蟆衣	车前草	多年生及杂类蔬菜
710	食用菊	食用菊	多年生及杂类蔬菜
711	甘菊	食用菊	多年生及杂类蔬菜
712	臭菊	食用菊	多年生及杂类蔬菜
713	玉米笋	玉米笋	多年生及杂类蔬菜
714	玉笋	玉米笋	多年生及杂类蔬菜
715	多穗玉米	玉米笋	多年生及杂类蔬菜
716	珍珠笋	玉米笋	多年生及杂类蔬菜
717	番麦笋	玉米笋	多年生及杂类蔬菜
718	嫩玉米	嫩玉米	多年生及杂类蔬菜
719	玉米粒	嫩玉米	多年生及杂类蔬菜
720	玉米	嫩玉米	多年生及杂类蔬菜
721	菜苞谷	嫩玉米	多年生及杂类蔬菜
722	青玉谷	嫩玉米	多年生及杂类蔬菜
723	御麦	嫩玉米	多年生及杂类蔬菜
724	糯玉米	糯玉米	多年生及杂类蔬菜
725	中国玉米	糯玉米	多年生及杂类蔬菜
726	糯苞谷	糯玉米	多年生及杂类蔬菜
727	甜玉米	甜玉米	多年生及杂类蔬菜
728	甜苞谷	甜玉米	多年生及杂类蔬菜
729	甜玉蜀黍	甜玉米	多年生及杂类蔬菜
730	菜玉米	甜玉米	多年生及杂类蔬菜
731	香菇	香菇	食用菌
732	香蕈	香菇	食用菌
733	冬菇	香菇	食用菌
734	花菇	香菇	食用菌
735	双孢蘑菇	双孢蘑菇	食用菌
736	蘑菇	双孢蘑菇	食用菌
737	鲜蘑	双孢蘑菇	食用菌
738	白蘑菇	双孢蘑菇	食用菌
739	双孢菇	双孢蘑菇	食用菌
740	洋菇	双孢蘑菇	食用菌
741	褐蘑菇	双孢蘑菇	食用菌
742	棕色蘑菇	双孢蘑菇	食用菌
743	糙皮侧耳	糙皮侧耳	食用菌
744	平菇	糙皮侧耳	食用菌
745	北风菌	糙皮侧耳	食用菌
746	青蘑	糙皮侧耳	食用菌
747	桐子菌	糙皮侧耳	食用菌
748	草菇	草菇	食用菌
749	兰花菇	草菇	食用菌
750	美味包脚菇	草菇	食用菌
751	秆菇	草菇	食用菌
752	麻菇	草菇	食用菌
753	中国蘑菇	草菇	食用菌
754	毛柄金钱菇	金针菇	食用菌
755	金针菇	金针菇	食用菌
756	朴菇	金针菇	食用菌
757	朴菰	金针菇	食用菌
758	黑木耳	黑木耳	食用菌
759	地耳	黑木耳	食用菌
760	木耳	黑木耳	食用菌
761	光木耳	黑木耳	食用菌
762	云耳	黑木耳	食用菌
763	银耳	银耳	食用菌
764	白木耳	银耳	食用菌
765	雪耳	银耳	食用菌
766	猴头菇	猴头菇	食用菌
767	猴头蘑	猴头菇	食用菌
768	刺猬菌	猴头菇	食用菌
769	毛头鬼伞	毛头鬼伞	食用菌
770	鸡腿蘑	毛头鬼伞	食用菌
771	鸡腿菇	毛头鬼伞	食用菌
772	姬松茸	姬松茸	食用菌
773	巴西蘑菇	姬松茸	食用菌
774	巴氏蘑菇	姬松茸	食用菌
775	茶薪菇	茶薪菇	食用菌
776	杨树菇	茶薪菇	食用菌
777	柱状田头菇	茶薪菇	食用菌
778	柳环菌	茶薪菇	食用菌
779	茶树菇	茶薪菇	食用菌
780	真姬菇	真姬菇	食用菌
781	玉蕈	真姬菇	食用菌
782	斑玉蕈	真姬菇	食用菌
783	蟹味菇	真姬菇	食用菌
784	胶玉蘑	真姬菇	食用菌
785	鸿喜菇	真姬菇	食用菌
786	海鲜菇	真姬菇	食用菌
787	灰树花	灰树花	食用菌
788	贝叶多孔菌	灰树花	食用菌
789	云蕈	灰树花	食用菌
790	栗蘑	灰树花	食用菌
791	舞茸	灰树花	食用菌
792	莲花菌	灰树花	食用菌
793	千佛菌	灰树花	食用菌
794	滑菇	滑菇	食用菌
795	珍珠菇	滑菇	食用菌
796	光帽鳞伞	滑菇	食用菌
797	滑子蘑	滑菇	食用菌
798	刺芹侧耳	刺芹侧耳	食用菌
799	雪茸	刺芹侧耳	食用菌
800	干贝菇	刺芹侧耳	食用菌
801	杏鲍菇	刺芹侧耳	食用菌
802	杏鲍菇根	刺芹侧耳	食用菌
803	白灵侧耳	白灵侧耳	食用菌
804	白灵菇	白灵侧耳	食用菌
805	阿魏侧耳	阿魏侧耳	食用菌
806	阿魏菇	阿魏侧耳	食用菌
807	盖襄侧耳	盖襄侧耳	食用菌
808	台湾平菇	盖襄侧耳	食用菌
809	鲍鱼菇	盖襄侧耳	食用菌
810	毛木耳	毛木耳	食用菌
811	竹荪	竹荪	食用菌
812	长裙竹荪	竹荪	食用菌
813	短裙竹荪	竹荪	食用菌
814	棘托竹荪	竹荪	食用菌
815	肺形侧耳	肺形侧耳	食用菌
816	姬菇	肺形侧耳	食用菌
817	秀珍菇	肺形侧耳	食用菌
818	小平菇	肺形侧耳	食用菌
819	金顶侧耳	金顶侧耳	食用菌
820	榆黄蘑	金顶侧耳	食用菌
821	玉皇菇	金顶侧耳	食用菌
822	大球盖菇	大球盖菇	食用菌
823	长根菇	长根菇	食用菌
824	大杯蕈	大杯蕈	食用菌
825	猪肚菇	大杯蕈	食用菌
826	洛巴伊口蘑	洛巴伊口蘑	食用菌
827	金福菇	洛巴伊口蘑	食用菌
828	北冬虫夏草	北冬虫夏草	食用菌
829	蛹虫草	北冬虫夏草	食用菌
830	虫草花	北冬虫夏草	食用菌
831	牛肝菌	牛肝菌	食用菌
832	松茸	松茸	食用菌
833	鸡枞	鸡枞	食用菌
834	羊肚菌	羊肚菌	食用菌
835	榛蘑	榛蘑	食用菌
836	蜜环菌	榛蘑	食用菌
837	鸡油菌	鸡油菌	食用菌
838	红菇	红菇	食用菌
839	口蘑	口蘑	食用菌
840	白玉菇	口蘑	食用菌
841	蒙古口蘑	口蘑	食用菌
842	青冈菌	青冈菌	食用菌
843	离褶伞	离褶伞	食用菌
844	一窝鸡	离褶伞	食用菌
845	绿豆芽	绿豆芽	芽苗菜
846	绿豆芽幼芽	绿豆芽	芽苗菜
847	黄豆芽	黄豆芽	芽苗菜
848	黄豆幼芽	黄豆芽	芽苗菜
849	黑豆芽	黑豆芽	芽苗菜
850	黑豆幼芽	黑豆芽	芽苗菜
851	青豆芽	青豆芽	芽苗菜
852	青豆幼芽	青豆芽	芽苗菜
853	红豆芽	红豆芽	芽苗菜
854	红豆幼芽	红豆芽	芽苗菜
855	蚕豆芽	蚕豆芽	芽苗菜
856	蚕豆幼芽	蚕豆芽	芽苗菜
857	红小豆苗	红小豆苗	芽苗菜
858	红小豆幼芽	红小豆苗	芽苗菜
859	豌豆苗	豌豆苗	芽苗菜
860	豌豆幼芽	豌豆苗	芽苗菜
861	花生芽	花生芽	芽苗菜
862	花生幼芽	花生芽	芽苗菜
863	苜蓿芽	苜蓿芽	芽苗菜
864	苜蓿幼芽或幼苗	苜蓿芽	芽苗菜
865	小扁豆芽	小扁豆芽	芽苗菜
866	小扁豆幼芽或幼苗	小扁豆芽	芽苗菜
867	萝卜芽	萝卜芽	芽苗菜
868	萝卜芽幼苗	萝卜芽	芽苗菜
869	菘蓝芽	菘蓝芽	芽苗菜
870	菘蓝幼芽或幼苗	菘蓝芽	芽苗菜
871	沙芥芽	沙芥芽	芽苗菜
872	沙芥幼芽或幼苗	沙芥芽	芽苗菜
873	芥菜芽	芥菜芽	芽苗菜
874	芥菜幼芽或幼苗	芥菜芽	芽苗菜
875	芥蓝芽	芥蓝芽	芽苗菜
876	芥蓝幼芽或幼苗	芥蓝芽	芽苗菜
877	白菜芽	白菜芽	芽苗菜
878	白菜幼芽或幼苗	白菜芽	芽苗菜
879	独行菜芽	独行菜芽	芽苗菜
880	独行菜幼苗	独行菜芽	芽苗菜
881	香椿苗	香椿苗	芽苗菜
882	香椿幼苗	香椿苗	芽苗菜
883	向日葵芽	向日葵芽	芽苗菜
884	向日葵幼芽	向日葵芽	芽苗菜
885	荞麦芽	荞麦芽	芽苗菜
886	荞麦幼苗	荞麦芽	芽苗菜
887	胡椒芽	胡椒芽	芽苗菜
888	胡椒幼芽或幼苗	胡椒芽	芽苗菜
889	紫苏芽	紫苏芽	芽苗菜
890	紫苏幼芽或幼苗	紫苏芽	芽苗菜
891	水芹芽	水芹芽	芽苗菜
892	水芹幼苗	水芹芽	芽苗菜
893	小麦苗	小麦苗	芽苗菜
894	小麦幼苗	小麦苗	芽苗菜
895	胡麻芽	胡麻芽	芽苗菜
896	胡麻幼芽或幼苗	胡麻芽	芽苗菜
897	蕹菜芽	蕹菜芽	芽苗菜
898	蕹菜幼苗	蕹菜芽	芽苗菜
899	芝麻芽	芝麻芽	芽苗菜
900	芝麻幼芽或幼苗	芝麻芽	芽苗菜
901	黄秋葵芽	黄秋葵芽	芽苗菜
902	黄秋葵幼苗	黄秋葵芽	芽苗菜
903	花椒脑	花椒脑	芽苗菜
904	花椒嫩芽	花椒脑	芽苗菜
905	芽球菊苣	芽球菊苣	芽苗菜
906	菊苣芽球	芽球菊苣	芽苗菜
907	苦苣芽	苦苣芽	芽苗菜
908	苦苣幼芽或幼苗	苦苣芽	芽苗菜
909	佛手瓜稍	佛手瓜稍	芽苗菜
910	佛手瓜幼稍	佛手瓜稍	芽苗菜
911	辣椒尖	辣椒尖	芽苗菜
912	辣椒幼稍	辣椒尖	芽苗菜
913	豌豆尖	豌豆尖	芽苗菜
914	豌豆幼稍	豌豆尖	芽苗菜
915	草芽	草芽	芽苗菜
916	草芽幼嫩假茎	草芽	芽苗菜
917	黄花菜幼嫩假茎	碧玉笋	芽苗菜
918	碧玉笋	碧玉笋	芽苗菜
			
			
